question,answer
"Mengapa kita tidak boleh merasa lebih baik dari orang lain, padahal faktanya kita memang lebih unggul dari orang tersebut?","Karena dikhawatirkan muncul perasaan yang tidak diinginkan. Tidak ada untungnya juga merasa lebih baik dari orang lain, selama diri sendiri saja masih banyak celah diri. Lebih baik melihat ke dalam diri sendiri, selalu membaca diri sendiri. Paham akan celah diri sendiri."
"Andaikan game dijadikan salah satu mata pelajaran di Indonesia, game apa yang menurut Anda cocok dijadikan mata pelajaran?","Tentu saja game iniMINECRAFT Bagi yang belum tau apa itu game Minecraft ini saya copaskan pengertiannya dari wikipedia.Minecraft adalah permainan video sandbox yang dibuat oleh pengembang Swedia Markus Persson, dirilis oleh Mojang pada tahun 2011 dan dibeli oleh Microsoft pada tahun 2014. Ini adalah video game terlaris sepanjang masa, yang terjual lebih dari 180 juta di semua platform pada akhir 2019, dengan lebih dari 112 juta pemain aktif bulanan.Jadi game ini adalah game open world, dimana kalian akan membangun dunia yang ada di dalam game ini sesuai dengan apa yang ada di imajinasi kalian. Kalian bebas malakukan apa saja di game ini, bisa mengekplor hutan, laut, pegunungan, gurun dan masih banyak tempat menarik yang bisa dieksplor. Disini kalian juga bisa membagun rumah, jembatan, gedung, atau apapun yang kalian inginkan. Eh tapi kan minecraft itu kotak-kotak kan ya? Iya benar kotak-kotak. Tapi disitulah nilai seninya. Coba lihat apa yang bisa dilakukan dengan game ini. Dari yang awalnya hanyak kotak-kotak beginiMenjadi seperti ini  Sangat keren bukan? Kembali ke pertanyaan. Menurut saya game ini bisa dipertimbangkan untuk dijadikan salah satu mata pelajaran di sekolah. Bisa dilihat sendiri, game ini bisa merangsang para siswanya untuk bisa berkreativitas sesuai dengan imajinasinya. Jadi mungkin mata pelajarannya akan masuk dalam bidang kesenian. Ditambah lagi kan sekarang sudah eranya digital. Mungkin bisa jadi terobosan baru untuk dunia pendidikan supaya pembelajarannya lebih bervariatif. Tapi kembali lagi ke pemerintah sendiri sih, apalah setuju atau tidak. Yang pasti setiap kebijakan juga pasti ada kelebihan dan kekurangannya masing-masing. Referensi dan sumber gambar: Wikipedia Places Journal How to Create A Map in Minecraft 2021 Minecraft Official Site"
Lagu apa saja yang Anda salah mengerti makna dari liriknya saat pertama kali mendengarnya dan terkejut saat mengetahui makna sebenarnya? Apa makna di persepsi awal Anda dan makna sebenarnya dari lagu tersebut?,"Mungkin kalian semua sudah tau Group Band iniLetto Mungkin bagi kalian termasuk saya, ketika mendengarkan lagu Letto dulu pas masih kecil mengartikan lagunya itu ke arah lagu percintaan, atau lagu-lagu romantis. Ya tidak salah memang, toh itu persepsi diri kita pribadi yang memang waktu itu kapasitasnya hanya memahami hal itu. Tapi bagi saya, saya mulai mulai menemukan persepsi lain ketika mendengarkan lagu-lagu dari Letto. Saya mulai menemukan ""kejanggalan"" di bait-bait liriknya. Terlebih ketika saya sudah mengetahui ternyata Noe sang vokalis, adalah anak kandung dari Emha Ainun Nadjib (Cak Nun). Bagi yang sudah tau siapa itu Cak Nun, mungkin kalian akan paham maksud saya. Berikut saya tuliskan cuplikan lirik dari salah aatu lagu Letto yang berjudul Lubang Di Hati.Kubuka mata dan kulihat duniaT'lah kuterima anugerah cintaNya Tak pernah aku menyesali yang kupunyaTapi kusadari ada lubang dalam hati Kucari sesuatu yang mampu mengisi lubang iniKumenanti jawaban apa yang dikatakan oleh hati Apakah itu kamu? Apakah itu dia?Selama ini kucari tanpa hentiApakah itu cinta? Apakah itu cita?Yang mampu melengkapi lubang di dalam hati Kumengira hanya dialah obatnyaTapi ku sadari bukan itu yang kucari Ku teruskan perjalanan panjang yang begitu melelahkanDan kuyakin kau tak ingin aku berhenti Apakah itu kamu? Apakah itu dia?Selama ini kucari tanpa hentiApakah itu cinta? Apakah itu cita?Yang mampu melengkapi lubang di dalam hati OhOh-oh-ohOhYe-ye-yeah Apakah itu kamu? Apakah itu dia?Selama ini kucari tanpa hentiApakah itu cinta? Apakah itu cita?Yang 'kan mengisi lubang di dalam hatiOhTerlihat romantis bukan? Yaps saya pikir juga begitu. Sebuah lagu romantis yang ditujukan kepadaNya. Sang Maha dari segala Maha. Maksudnya? Saya tidak bisa menjelaskannya, saya ingin kalian untuk meresapi setiap lirik-lirik diatas dan mengartikannya sendiri. Tidak hanya satu dua lagu. Mungkin hampir semua lagu dari Letto itu memiliki makna tersirat bagi yang sudah paham."
Apa padanan bahasa Indonesia untuk kata 'Ndilalah'?,Kebetulan yang tidak kebetulan
"Saya seorang desainer grafis otodidak, tapi akhir-akhir ini sering sekali ""art block"". Apa yang harus saya lakukan? Adakah saran buku atau kelas yang harus saya ambil?","Kalo berdasarkan pengalaman saya pribadi, cara mengatasi art block dengan cara berhenti sejenak, menjauh dari hal yang membuat kita tertekan, atau istilahnya ""refreshing"". Kalo dari saya pribadi, saya biasanya yah buka sosmed, nge-youtube atau nonton film di laptop. Kadang dari hal random yang kita lakuin itu, muncul sebuah ide tak terduga yang membuat semangat kita naik lagi untuk berkarya. Jadi intinya jangan dipaksa untuk berkarya. Karena art block itu terjadi ada sangkut pautnya dengan mood kita sendiri. Emosi semakin dipaksa semakin memberontak. Bayangkan saja bagaimana rasanya ketika di depan laptop, ide tidak muncul, lalu diri kita sendiri memaksa badan kita untuk tetap memainkan mouse dan keyboard. Jadi biarkan ide itu datang dengan sendirinya. Munculnya ide itu dipengaruhi oleh mood. Kalo dari pengalaman saya, ketika mood saya lagi baik disitu ide itu kadang atau bahkan sering bermunculan. Tidak mudah memang. Saya aja kadang masih mengalami art block. Yah karena tadi, ini ada hubungannya dengan manajemen emosi dan juga pengendalian diri. Dan saya masih harus banyak belajar tentang hal ini."
Bagaimana pengalamanmu mengikuti olimpiade sains yang bidangnya tidak dipelajari di sekolah seperti astronomi atau komputer?,"Halo.. Saya Ridwan dan izinkan saya untuk menceritakan pengalaman saya dulu saat mengikuti Olimpiade Sains. Bulan Oktober tahun 2015, kala itu saya masih kelas 10. Saat pelajaran matematika. Guru matematika (kita panggil saja Bu A) memanggil saya ke depan mejanya. ""Ada apa ini?"" Benak saya merespon. Dan ternyata Bu A menyarankan saya untuk mengikuti Olimpiade Sains Nasional Tingkat Kabupaten. ""What?… ikut olimpiade? Tunggu - tunggu. Ini ga salah dengar kan?."" Dan bu A menjelaskan bahwa beliau ingin saya untuk mengikuti Olimpiade Sains Tingkat Kabupaten (OSK) bidang Informatika/komputer. ""What the hack. Kenapa komputer??.."" Pikiran saya langsung membayangkan soal seperti ""Siapakah pencipta komputer pertama?"" atau ""Bagaimana perkembangan komputer dari masa ke masa?"". Bu A pun menjelaskan bahwa sebenarnya beliau telah lama mengamati saya dari sejak awal masuk SMA. Dia mengganggap saya mampu di bidang matematika terutama di bagian logika. Yaps saya memang dari dulu suka pelajaran matematika tapi lebih ke arah matematika logika yang tidak mengharuskan menghafal banyak rumus. Terus apa hubungannya matematika, logika dengan komputer? Bu A pun kembali menjelaskan bahwa soal OSK Komputer itu mirip seperti soal matematika. Cuman bisa dibilang soal OSK Komputer lebih mengutamakan logika dan proses berpikir untuk menyelesaikan masalah yang ada, dan biasanya masalahnya itu berhubungan dengan matematika dan logika berpikir. Owalah jadi gitu tah. Tak kirain soalnya seperti ""Siapa pencipta komputer"" wkwkwkwk. Ternyata dugaan saya salah pemirsa. Untuk yang ingin tau contoh soal olimpiade, ini saya kutip soal OSK 2016.Yaps, seperti itu soal OSK komputer. Jauh dari dugaan saya. Saya pun tertarik ketika pertama kali melihat soal kayak gitu. ""Hmmm.. Kayaknya seru nih"". Karena di sekolah saya dulu peminat OSK Komputer masih sedikit. Akhirnya saya langsung bisa mengikuti OSK tanpa harus melalui seleksi sekolah. Sekedar info, jaman saya dulu kuota untuk mengikuti OSK tiap bidang itu 10 orang untuk satu sekolah. Gatau kalo jaman sekarang . Dengar - denger sih dikurangi kuotanya (?). Skip… Tepat akhir januari tahun 2016 sekitar pukul 7 pagi, datang surat dispensasi datang ke kelas saya yang ditujukan kepada siswa yang mengikuti OSK. Itu karena sekolah saya mempunyai kebijakan untuk mendispensasikan siswa yang mengikuti olimpiade, baik itu OSK, OSP, dan juga OSN. Mengingat sekolah saya itu sekolah unggulan di Kabupaten saya. Jadi pihak sekolah ingin memaksimalkan supaya siswanya bisa berprestasi di Olimpiade Sains. Pihak sekolah memberikan waktu dispensasi 3 minggu. Yaps benar 3 minggu. Waktu yang lumayan lama bagi saya. Saya pun harus mengorbankan pelajaran sekolah untuk bisa fokus ke olimpiade. Jangan ditanya bagaimana rasanya ketika balik lagi ke kelas tapi dengan kondisi tidak mengikuti pelajaran selama 3 minggu. Bingung pemirsa wkwkwkwk. Sekedar info. yang ikut OSK komputer waktu itu 8 orang dengan rincian 5 dari kelas 10 (termasuk saya), dan 3 dari kelas 11. Dan 2 orang dari 3 kakak kelas itu mantan juara OSK Komputer tahun 2015 tapi tidak lolos ke OSN. Jadi kakak kelas itu terhenti di OSP. Kalo boleh jujur, saya dulu awal dispensasi ga memasang target sama sekali buat OSK. Harus juara, harus begini… Itu tidak terlintas di pikiran saya waktu itu. Saya loh dikasih waktu dispensasi saja saya senang wkwkwk. ketahuan betapa tidak niatnya saya sekolah dulu :(. Balik lagi… Metode untuk belajar materi Komputer bisa dibilang beda dari bidang OSK yang lain. Mungkin karena komputer (dan juga astronomi) tidak diajarkan di sekolah. Tapi kalo astronomi itu bisa dibilang ilmu pasti, rumusnya sudah ada dan ada teorinya. Lah, sedangkan komputer? Bisa dilihat sendiri soal di atas. Tapi di sisi lain seru juga sih, saya menikmatinya ketika mengerjakan soal itu. Meskipun beberapa soal bikin darah naik sih wkwkwk. Jadi teringat dulu tokoh - tokoh yang sering muncul di soal. Pak Dengklek, Bu Dengklek. Siapa itu? ditambah lagi anaknya. wkwkwk keluarga macam apa ini yang membuat saya gabisa tidur wkwkwk (Canda Deng). Skip…. Untuk pembagian materinya Olimpiade Komputer itu terbagi menjadi 3 bagian, yaitu :Analitik dan Logika di bagian ini kita diajak untuk mengasah otak, kecerdasan dan kreativitas kita dalam memahami dan menyeleaikan masalahAritmatika bagian ini merupakan pengembangan dari ilmu yang kita pelajari di sekolah, jadi pemahaman materi matematika di SMA sangat membantu. Materi seperti kombinatorika, permutasi, kombinasi, teori bilangan, deret fibonacci, deret bilangan, dan penyelesain sistem persamaan linear sangat dibutuhkan di bagian ini.Algoritma dan Pemrograman Nah, ini materi paling sulit karena ini tidak diajarkan di sekolah. Bisa dibilang ini adalah benar-benar materi komputer itu sendiri.Metode yang kami gunakan dulu waktu belajar OSK adalah dengan memperbanyak latihan soal - soal. Biasanya kami print dan copy soal OSK tahun - tahun sebelumnya sebagai bahan belajar. Untuk bagian Analitik dan Logika tidak menjadi masalah sih, karena ini hanya mengandalkan logika berpikir dan kreativitas kita untuk menyelesaikan soal - soal logika. Untuk bagian Aritmatika, karena ini merupakan materi matematika, mau tidak mau saya yang waktu itu masih kelas 10, harus belajar materi matematika kelas 11 tentang kombinatorika, permutasi dan kombinasi, dan materi matematika dasar yang lain. Tidak jarang kami waktu itu sering konsul ke guru matematika kami, Bu A. Nah untuk bagian Algoritma dan Pemrograman, saya belajar materi ini dari kakak kelas saya sang juara OSK tahun lalu. Karena materi ini bisa dibilang baru bagi saya. Saya teringat dulu ketika pertama kali menatap lembaran soal - soal algoritma. ""What the hack….? Ini gimana baca kodenya? Gimana cara ngerjainnya? Kayaknya sulit nih…."" Batin saya. Dan setelah diajari oleh kakak kelas bagaimana cara membaca dan mengerjakannya, respon saya dalam hati ""Owalah… gitu tahhh. hmm…. lumayan seru juga kayaknya, tak kirain nanti bakalan rumit gimana gitu, ternyata nggak deng"" Saya pun seperti mendapat suntikan semangat waktu itu. Yaps saya jadi suka ngerjain soal - soal itu. Seru aja gitu ketika saya berhasil menyelesaikan suatu soal di lembaran itu. Seperti ada suntikan dopamin atau apalah namanya yang masuk dalam tubuh saya. (Ceileh bahasanya Ridwan wkwkwk). Skip…. Tibalah hari H. Hari yang dinantikan untuk menguji pencapaian kami selama dispensasi. Waktu itu tidak terlintas di pikiran saya untuk juara, mengingat saya masih kelas 10 dan nihil pengalaman ikut olimpiade. Pikir saya palingan yang juara 1, 2, 3 itu para kakak kelas Sekitar 3 hari pasca OSK, Pembina OSK Komputer di sekolah saya memanggil saya. Beliau tiba - tiba bilang ""Kamu juara 3 OSK"". Respon saya ""Yang benar Pak?"" ""Iya benar"" Saya pun langsung balik ke kelas dengan masih memikirkan perkataan Pembina OSK saya. ""What the hack… ini benar tah saya juaranya?. Asumsi saya yang juara itu pasti 3 kakak kelas saya. mengingat mereka sudah kelas 11. FYI juara 1 sama 2 nya itu masih tetap dipegang kakak kelas saya yang tahun sebelumnya pernah juara. Dan karena saya lolos OSK, saya lanjut untuk bersaing di OSP. Tapi karena mungkin bukan rezekinya, saya ga lolos OSP. Tapi menjadi juara 3 di OSK sudah lumayan memuaskan bagi saya. Skip… Di tahun berikutnya saya ikut OSK Komputer lagi dengan status saya sebagai kakak kelas (senior). Berbekal pengalaman tahun sebelumnya saya menjadi pembimbing bagi adik - adik kelas yang baru ikut OSK Komputer. Dan Alhamdulilah saat kelas 11 saya berhasil juara 1 OSK Komputer. Tapi lagi - lagi, saya kurang beruntung di tingkat Provinsi (OSP). PENUTUP Kesimpulan dari tulisan adalah meskipun OSN Informatika/Komputer itu tidak diajarkan di sekolah, tapi sebenarnya OSN Komputer itu tidak beda jauh dari matematika biasa. Jadi jika kalian sedang/ingin mengikuti OSN Komputer kalian cukup asah kemampuan logika kalian doang dan mempelajari beberapa bab matematika. Pesan saya jika ada dari kalian yang masih SMA kelas 10 atau 11 yang membaca tulisan ini dan tertarik dengan soal - soal logika seperti gambar di atas. Kalian bisa mencoba untuk ikut Olimpiade Sains bidang Komputer. Eman - eman kemampuan kalian ga dimanfaatin. Oh iya BTW saya dengar Olimpiade Sains Nasional (OSN) berubah nama menjadi Kompetisi Sains Nasional (KSN) (?) Referensi : http://fusharblog.com/tips-osk-dan-osp-bidang-komputer/"
"Jika pekerjaanmu sampai membuatmu tidak bisa tidur, pusing, dan tertekan, menurutmu apakah itu masih 'sehat'?","Kayaknya semua pekerjaan ada kemungkinan kayak gitu deh wkwkwk. Bisa dibilang konsekuensinya yak. Tapi kalo setiap melakukan pekerjaan muncul hal itu mungkin kitanya emang ga cocok sama pekerjaannya. Solusinya ya mau tidak mau harus mencoba untuk mencari titik nyaman dengan pekerjaan atau mungkin kalo ga betah ya resign dan cari pekerjaan yang lebih sesuai. Balik lagi ke diri sendiri sih, harus pintar-pintar manajemen waktu dan emosi supaya tidak stress berkepanjangan."
Apa bedanya egois dan berprinsip? Adakah hubungannya?,"Menurut pemahaman saya egois itu ketika kita mengambil keputusan tapi nggak melihat/mempertimbangkan kondisi orang lain. Dalam artian kita melakukan itu untuk membesarkan ego kita sendiri. Sedangkan berprinsip itu merupakan pemikiran/cara pikir yang asalnya berasal dari pengalaman seseorang, dan itu biasanya sudah melalui proses kontemplasi. Dalam artian dia menyimpulkan bahwa ""prinsip"" yang dia yakini itu ""benar"" karena sudah dibuktikan di pengalaman sebelumnya. Dan yang harus di garis bawahi bahwa prinsip setiap orang itu bisa beda-beda dan itu belum tentu benar juga belum tentu salah. Mengapa? Karena itu berasal dari pengalaman sehingga sifatnya bersifat subjektif. Dan menurut saya orang yang terlalu berprinsip juga bisa menjadi seorang yang egois jika dia tidak mau mendengarkan pendapat orang lain. Apa lagi sampe membenci orang yang menyalahi prinsipnya."
Bagaimana cara agar orang lain menghargai kita?,Caranya sebenarnya simple. Cukup dengan memberi respect juga ke orang lain. Ingat hukum karma.
Bagaimana caramu mendapatkan pekerjaan pertama sebagai seorang freelancer?,"Bangun dulu personal brandmu. Buat dirimu dikenal banyak orang dengan produk yang kamu tawarkan. Caranya bisa dengan membangun portfolio yang sesuai dengan niche kamu, dan mengsharenya ke sosial media supaya karyamu bisa dilihat banyak orang. Jika portfoliomu berkualitas, InsyaAllah bakalan ada projek yang datang. Yang penting sabar dan konsisten dalam membangun personal brandmu. Tingkatkan juga kuliatas karyamu. Kalimat ini saya pertebal karena hal ini menurut saya paling penting yang harus dilakukan freelancer. Tingkatkan kulitas, nanti dengan sendirinya kuantitas (projek) akan mengikuti. Jangan lupa untuk berdoa dan bersedekah. Semoga bermanfaat😊"
Apakah kamu punya fobia yang bisa dibilang tidak lazim?,"Saya punya ketakutan tersendiri terhadap makanan yang digemari oleh kebanyaan orang. Ini dia makanannya.Yaps. Saya fobia kerupuk. Saya juga gatau kenapa kok bisa separno itu sama makanan ringan itu. Seinget saya emang sudah dari kecil gasuka sama kerupuk. Saya suka gatahan kalo mencium baunya😥. Jangankan makan, pegang aja saya ga berani. Dan kalo ngelihat orang yang lagi makan kerupuk, ntah kenapa saya kok kaya ada rasa kayak (maaf) jijik-jijik gimana gitu. 😥 Dan dilihat dari jawaban-jawaban yg lain, ada yang fobia balon, peniti, pisang. Saya memaklumi hal itu dan saya paham rasanya. Karena saya juga mengalaminya😥. Jadi saya ga bisa ngejudge dia. Untung saya fobianya cuman kerupuk, jadi ga terlalu mengganggu aktivitas saya. Memangnya kerupuk itu harus dimakan setiap hari?. Kan enggak kan. Banyak makanan yang lain yang saya suka."
Mengapa karakter orang berbeda-beda?,"Ada banyak faktor yang membuat karakter orang beda-beda. Berikut ini adalah faktor-faktornyaLingkungan Setiap orang besar di lingkungan yg berbeda. Contohnya Orang yang lahir di lingkungan kaya raya jelas karakternya berbeda dengan orang yang lahir di lingkungan (maaf) kekurangan.Pola Asuh Orang Tua Ini serius, bisa dilihat orang yang dari kecil sudah dididik dengan kasih sayang dan sebaliknya. Atau bisa dilihat orang yg sedari kecil pernah mengalami (maaf) child abuse dari orang tuanya. Pasti hal itu berpengaruh ke kebiasaan, cara membuat keputusan, cara interaksi dengan orang lain dan aspek lainnya.Genetik Contohnya berupa sifat turunan dari orang tua. Atau bisa berupa bakat/kemampuan yang nurun dari orang tua ke anaknya. Sehingga hal itu mempengaruhi karakternya."
Seberapa perfeksionis seorang INFP?,"Hanya ingin mengeluarkan apa yg ada di hati dan pikiran saya. Saya INFP. Dan saya cenderung perfeksionis. Tapi perfeksionisnya saya hanya berhubungan dengan hal yg saya sukai atau passion saya. Kalo tidak berhubungan dengan passion saya, saya cenderung bodo amat dan.pasrah mau gimana nanti hasilnya. Contohnya, passion saya desain grafis. Ada beberapa kasus ketika saya telah mengupload karya saya ke instagram, tapi setelah dicek ternyata terdapat 1 kesalahan ntah warna atau garis outline yg belum dihilangkan (anak desain pasti paham) pasti saya akan menghapus postingan saya dan berusaha segera untuk memperbaikinya. Saya melakukan itu karena itu passion saya, saya suka melakukan itu dan ingin memberikan yang terbaik. Sedangkan jika itu suatu hal di luar apa yg saya suka, saya cenderung bodo amat, tidak terlalu banyak dipikirin, pasrah aja."
Apa yang dimaksud dengan ikhlas?,"Menurut opini saya ikhlas itu ketika kita berhasil menghilangkan ego (keakuan). Contohnya ikhlas bersedekah. Berarti kita bersedekah orientasinya hanya orang lain, seperti ingin membantu dia, membuat dia tersenyum, atau membuat dia bahagia."
Bagaimana caramu agar cepat terlelap untuk tidur?,"Biasanya orang sulit tidur karena banyak pikiran yg hinggap di kepala mereka. Jadi cara agar mudah tertidur adalah mengendalikan pikiran kita supaya bisa berhenti dari apa yg seharusnya tidak dipikirkan. Saya ada tips dari guru saya agar pikiran kita tidak mengembara kemana mana. Pertama rasakan kaki dan tangan dulu (jangan dipikirkan, cukup rasakan) selama beberapa detik. Setelah itu baru ditambah dengan mendengarkan suara di sekitar tanpa menilai, maksudnya tanpa menilai atau melabeli atau terdiktrasi oleh suara itu, jadi cukup dengarkan saja. Jadi kalo susah tidur cukup lakukan teknik itu. Rasakan kaki, rasakan tangan, dan dengarkan suara di sekitar tanpa menilai. Dan akan tertidur dengan sendirinya."
Mengapa di Quora banyak sekali pembahasan tentang INFP dibandingkan kepribadian lain?,"karena INFP ini menurut saya pribadi merupakan kepribadian yg paling aktif untuk mencari jati diri mereka. Makanya begitu banyak pembahasan INFP di quora. Ditambah biasanya mereka di dunia nyata jarang cerita(curhat) ke orang. Karena memang hal yg disukai infp itu cenderung ""beda"" dari kebanyaan orang pada umumnya"
